"","disable","computer","poverty","a85a","a7584","a6574","black","asian","aindian","latino","chci","sparent","a5564","a2034","Diabetes_Incidence","Poor_health","Adult_obesity","Food_environment_index","Physical_inactivity","Uninsured","Adult_smoking","Low_birthweight","per_Female","Excessive_drinking","Primary_care_physicians","Access_to_exercise_opportunities","State"
"177",16.3,74.8,25.9,1.7,5.1,9.8,54.3,0.3,0.5,1.6,132.37,9.4,13,18.2,12.9,0.2430022382,0.343,5.5,0.363,0.1548126065,0.2189741073,0.134851587,0.526810699,0.113617841,0.000425468,0.542149292,"Mississippi"
"178",21.4,70.8,22.8,1,7.5,10.8,61.7,0.1,3.7,0.6,129.84,10.8,13,19.2,9,0.2781964439,0.36,3.2,0.371,0.198630137,0.2299973219,0.149606299,0.500707357,0.110344506,0.000100311,0.012146136,"Mississippi"
"179",14.6,78,25.9,1.5,3.8,7.6,73.9,0.1,0.1,1.8,127.16,14.9,11.8,23.8,15.7,0.2888597192,0.422,2.8,0.339,0.1599496855,0.2425450024,0.146434635,0.475252774,0.116366781,0.000333272,0.466485569,"Mississippi"
"180",17.4,79,28.2,2,5.9,10.4,56.3,0.6,0.3,5.8,130.9,10.4,15.3,18.4,11.7,0.2523478033,0.356,5,0.326,0.1586203971,0.2286402875,0.125931446,0.49359959,0.125201111,0.000863889,0.742267084,"Mississippi"
"181",11.5,92.8,6.8,1.1,3.6,7.9,27.3,1.4,0.2,4.9,142.24,7.8,11.6,19,12.3,0.1647402456,0.322,7.5,0.342,0.106923016,0.1942775632,0.083801178,0.517199948,0.156009588,0.000328866,0.744474487,"Mississippi"
"182",11.9,91.4,7.1,2.5,4.6,8.8,21.6,5.7,0.2,3.8,154.85,7.5,13.9,19.9,7.8,0.1403752462,0.248,8.2,0.228,0.0676186111,0.1476232422,0.087612646,0.519055665,0.187201905,0.00106935,0.846953106,"Pennsylvania"
"183",17,79.6,9,3.3,6.5,11.9,2.6,0.3,0.1,1.5,131.97,4.6,15.6,16.5,7.6,0.1346099853,0.379,8,0.293,0.0872628336,0.1606384496,0.073348614,0.479183597,0.190778969,0.000436959,0.403115433,"Pennsylvania"
"184",24.7,80.6,9.5,2.3,6,10.4,0.8,0.6,0.2,2.4,132,3.2,14.5,17.4,9,0.2012918964,0.356,7.3,0.297,0.146578814,0.2264597214,0.074974671,0.509925259,0.160961724,0.000402966,0.85588091,"Missouri"
"185",17.6,89.2,8.8,2,6.2,10.5,0.5,0.7,0.6,2.2,135.5,7,13.8,16.7,7.1,0.2017101441,0.342,6.6,0.272,0.1405260594,0.2211775708,0.067863152,0.510495585,0.16283874,0.000384135,0.616286214,"Missouri"
"186",10.8,89.9,12.1,1.9,5.2,7.7,2.8,1.4,0.2,1.7,145.21,5.2,10.7,30.9,7.5,0.2068674427,0.329,5,0.284,0.1055736496,0.2178897221,0.065391734,0.499691222,0.17994406,0.000526085,0.698074454,"Missouri"
"187",29.1,76.1,13.3,2.7,7.2,13.1,0.6,0.3,0.2,1.8,123.15,3.2,16,14.2,8.2,0.2296879095,0.341,6.3,0.352,0.1586515107,0.2444484629,0.086309524,0.506659563,0.150590095,0.000372995,0.655498854,"Missouri"
"188",20.1,83.6,15.8,2.2,5.4,10.2,11.6,0.4,0.4,2.3,131.41,7.9,13.5,18.6,10.3,0.2255067013,0.35,6.6,0.288,0.1245354901,0.2301886029,0.091802358,0.512530649,0.154160774,0.000512715,0.576637493,"Missouri"
"189",18.1,85.1,5.9,2.6,7.7,12.1,0.5,0.3,0.5,1.4,135.68,3.5,16.4,15.9,7.9,0.1688254993,0.347,8.2,0.323,0.1339555786,0.193571658,0.067467653,0.500877904,0.168935829,0.000336519,0.562475365,"Missouri"
"190",16.8,81.8,9.1,3.5,6.8,11.7,2,0.6,0.7,1.5,132.54,6.2,14,15.3,8,0.187393807,0.354,7.3,0.293,0.1400251995,0.1970625434,0.065907242,0.508437706,0.161794171,0.000260841,0.606706925,"Missouri"
"191",23,78.4,13,2.9,7.4,13.6,0.2,0.1,0.5,0.9,126.68,3.7,16.3,14.4,7.7,0.2121396739,0.329,6.5,0.316,0.1687259069,0.2304919421,0.066091954,0.501871538,0.144518086,0.000224333,0.381248173,"Missouri"
