"","disable","computer","poverty","a85a","a7584","a6574","black","asian","aindian","latino","chci","sparent","a5564","a2034","mortalityrate","Poor_health","Adult_obesity","Food_environment_index","Physical_inactivity","Uninsured","Adult_smoking","Low_birthweight","per_Female","Excessive_drinking","Primary_care_physicians","Access_to_exercise_opportunities","State"
"306",16.5,83.4,11.8,2.1,6.3,11.1,3.5,0.1,0.4,11.1,127.42,5.3,14.5,16.3,0.0559358602136217,0.1814304545,0.325,8.4,0.228,0.1455419149,0.1849969601,0.1012057,0.504316317,0.16580718,0.00029267,0.468025829,"North Carolina"
"307",20.2,81.9,12.8,2.3,6,11.3,6.1,3.6,0.9,6.1,131.13,5.2,15,17.6,0.032086034829944,0.1644519361,0.319,6.8,0.259,0.1539278733,0.1972482824,0.07883546,0.503685946,0.158188827,0.000529029,0.64936422,"North Carolina"
"308",10.5,92.5,5,1.7,4,6.5,3.9,1.7,2.1,6.1,145.91,3.8,10.5,28.7,0.0250944733112896,0.1355863793,0.308,8.4,0.257,0.080819447,0.17704461,0.064135643,0.468451788,0.25689543,0.000659418,0.84108634,"North Dakota"
"309",9.4,92.6,5.6,1.8,3.2,6.6,5.6,2.9,1,2.7,155.51,5.2,10.6,28.5,0.0143238061658476,0.121512823,0.298,8.9,0.19,0.0755762861,0.1453024741,0.064512338,0.492533481,0.245821719,0.001026167,0.883440826,"North Dakota"
"310",15.9,90.6,8.4,1.9,5.6,10.7,1.8,0.5,0.4,1.6,134.32,5.5,14.1,17.3,0.0490271971925479,0.1541346935,0.334,8.4,0.24,0.07038521,0.1939885841,0.067447639,0.500451648,0.185125341,0.000153898,0.709629149,"Ohio"
"311",13.1,92.4,7.7,1.9,5.1,9.8,6.9,2.9,0.1,2.8,156.58,6,13.7,21.5,0.0255959998809488,0.1447511581,0.322,7.5,0.221,0.0602572834,0.1776521836,0.076488829,0.507947683,0.1901092,0.000906177,0.857377161,"Ohio"
"312",15.1,89.2,8.6,2.7,6.5,12.2,9.1,0.6,0.4,4.4,141.21,6.8,15.6,17.3,0.0428868190042217,0.1642305916,0.357,7.3,0.294,0.0658163778,0.1969032722,0.084598699,0.512508821,0.177257098,0.000727995,0.734013155,"Ohio"
"313",13.5,89,8.2,1.8,5.3,10.5,1.8,0.8,0.1,1.6,134.83,5.9,14.9,16.7,0.0308655584461396,0.1532069615,0.352,8.1,0.246,0.072748114,0.1951201143,0.076419785,0.50512565,0.178869507,0.000528797,0.594705395,"Ohio"
"314",13.1,88.6,9.4,2.5,4.9,10,14.5,3.4,0.2,2.1,148.53,7,14.5,19.5,0.0317391192025362,0.1522442754,0.312,7.2,0.254,0.0750928435,0.1952536035,0.093222321,0.514534518,0.178799524,0.000976072,0.950116375,"Ohio"
"315",16.5,87.9,9.8,1.9,6.6,15.3,0.3,0.7,0.9,3.1,141.83,5.1,17.6,13.5,0.0335367898584747,0.1270375983,0.262,7.2,0.21,0.1311679036,0.1356930356,0.062410842,0.500587737,0.176752194,0.000621133,0.77931355,"Idaho"
